,site,sample_down_to,matrix_size,mv_avg_width,nse,pbias,rmse
0,BEN,42,1000,300,[0.63154861],[0.10342981],[3.70454592]
1,BEN,42,1000,500,[0.63491923],[0.08753132],[3.68756224]
2,BEN,42,1000,750,[0.64851491],[0.07879289],[3.61824805]
3,BEN,42,1000,1000,[0.66606595],[0.07477233],[3.52675453]
4,BEN,21,2000,300,[0.63688467],[0.10047641],[3.67762274]
5,BEN,21,2000,500,[0.63967155],[0.09080967],[3.66348281]
6,BEN,21,2000,750,[0.65159177],[0.08485616],[3.60237636]
7,BEN,21,2000,1000,[0.6640347],[0.08236268],[3.5374645]
8,BEN,14,3000,300,[0.62872371],[0.12020731],[3.71872006]
9,BEN,14,3000,500,[0.63410842],[0.10927673],[3.69165483]
10,BEN,14,3000,750,[0.64705227],[0.10281567],[3.62576854]
11,BEN,14,3000,1000,[0.66113707],[0.09935174],[3.5526867]
12,BEN,10,4000,300,[-2.33359913e+15],[1377172.45462923],[2.94820724e+08]
13,BEN,10,4000,500,[-2.10351008e+15],[1565333.60301605],[2.79909204e+08]
14,BEN,10,4000,750,[-1.98091788e+15],[1826394.85288833],[2.71630239e+08]
15,BEN,10,4000,1000,[-1.93456059e+15],[1872204.30594919],[2.68433089e+08]
16,BLI,29,1000,300,[0.58393832],[-0.01483217],[3.45835018]
17,BLI,29,1000,500,[0.60572587],[-0.02196402],[3.36658239]
18,BLI,29,1000,750,[0.5883996],[-0.03140035],[3.43975889]
19,BLI,29,1000,1000,[0.57041223],[-0.04716683],[3.51411576]
20,BLI,14,2000,300,[-2701.27298864],[-3.96176028],[278.7113902]
21,BLI,14,2000,500,[-1784.16791214],[-3.2747396],[226.53204389]
22,BLI,14,2000,750,[-1067.05627308],[-2.29237549],[175.22141173]
23,BLI,14,2000,1000,[-733.30650334],[-1.61122184],[145.28768196]
24,BLI,9,3000,300,[-1.08502889e+13],[-60133.03267695],[17660815.69540536]
25,BLI,9,3000,500,[-1.07377681e+13],[-52642.63548206],[17569003.06840018]
26,BLI,9,3000,750,[-1.068326e+13],[-48268.15496656],[17524353.58125823]
27,BLI,9,3000,1000,[-1.0650607e+13],[-47758.69070549],[17497551.80732392]
28,BLI,7,4000,300,[-6.22153992e+14],[3460514.52568103],[1.33733144e+08]
29,BLI,7,4000,500,[-4.92055404e+14],[3010491.85492036],[1.18931559e+08]
30,BLI,7,4000,750,[-4.38044632e+14],[2643658.51991621],[1.1221458e+08]
31,BLI,7,4000,1000,[-4.272058e+14],[2460537.13406521],[1.10817584e+08]
32,BSL,79,1000,300,[0.85075084],[-0.138737],[6.2117644]
33,BSL,79,1000,500,[0.86343504],[-0.11211754],[5.94194552]
34,BSL,79,1000,750,[0.86711045],[-0.10306851],[5.86144159]
35,BSL,79,1000,1000,[0.86460628],[-0.10486526],[5.9164103]
36,BSL,39,2000,300,[0.87084471],[-0.1160275],[5.77850025]
37,BSL,39,2000,500,[0.87577739],[-0.10241288],[5.66708011]
38,BSL,39,2000,750,[0.87555307],[-0.09709217],[5.67219473]
39,BSL,39,2000,1000,[0.87041908],[-0.09962981],[5.78801394]
40,BSL,26,3000,300,[0.87077021],[-0.12926791],[5.78016648]
41,BSL,26,3000,500,[0.87448385],[-0.11754856],[5.69650973]
42,BSL,26,3000,750,[0.87431461],[-0.11263111],[5.70034878]
43,BSL,26,3000,1000,[0.87023507],[-0.11373007],[5.79212203]
44,BSL,19,4000,300,[0.85305757],[-0.1423208],[6.16357444]
45,BSL,19,4000,500,[0.86113535],[-0.1276462],[5.99176652]
46,BSL,19,4000,750,[0.86439127],[-0.1232046],[5.92110628]
47,BSL,19,4000,1000,[0.86264763],[-0.12363937],[5.95905114]
48,CLE,64,1000,300,[0.76274653],[-0.05505315],[4.43827268]
49,CLE,64,1000,500,[0.79037206],[-0.06054374],[4.17188452]
50,CLE,64,1000,750,[0.78607515],[-0.05025813],[4.21442476]
51,CLE,64,1000,1000,[0.77489218],[-0.04244473],[4.32317667]
52,CLE,32,2000,300,[0.7755277],[-0.06204801],[4.31706976]
53,CLE,32,2000,500,[0.79295237],[-0.06620712],[4.14612913]
54,CLE,32,2000,750,[0.78685947],[-0.05924502],[4.20669192]
55,CLE,32,2000,1000,[0.77619594],[-0.05230809],[4.3106392]
56,CLE,21,3000,300,[0.77765854],[-0.06459181],[4.29653071]
57,CLE,21,3000,500,[0.79138597],[-0.06518788],[4.16178311]
58,CLE,21,3000,750,[0.78691919],[-0.06129807],[4.2061026]
59,CLE,21,3000,1000,[0.77648025],[-0.05705616],[4.30790033]
60,CLE,16,4000,300,[0.76856604],[-0.06665861],[4.38350227]
61,CLE,16,4000,500,[0.78466628],[-0.06803514],[4.2282798]
62,CLE,16,4000,750,[0.78076971],[-0.06188504],[4.26636461]
63,CLE,16,4000,1000,[0.77225142],[-0.05627078],[4.34846052]
64,CRB,49,1000,300,[0.39518428],[0.02470489],[6.17176606]
65,CRB,49,1000,500,[0.39999574],[0.02399084],[6.14716806]
66,CRB,49,1000,750,[0.40421338],[0.01954673],[6.12552467]
67,CRB,49,1000,1000,[0.40672458],[0.01156754],[6.11260171]
68,CRB,24,2000,300,[0.36138213],[0.0420934],[6.34188631]
69,CRB,24,2000,500,[0.38448124],[0.03439778],[6.22613547]
70,CRB,24,2000,750,[0.40525373],[0.02846485],[6.12017417]
71,CRB,24,2000,1000,[0.40772529],[0.02348587],[6.1074443]
72,CRB,16,3000,300,[0.35930541],[0.03849581],[6.35218951]
73,CRB,16,3000,500,[0.37907502],[0.03310765],[6.25341838]
74,CRB,16,3000,750,[0.39976396],[0.02928698],[6.14835525]
75,CRB,16,3000,1000,[0.40226898],[0.02580287],[6.13551211]
76,CRB,12,4000,300,[0.34577393],[0.04694632],[6.41891823]
77,CRB,12,4000,500,[0.36676389],[0.04067913],[6.31510762]
78,CRB,12,4000,750,[0.38789594],[0.03631993],[6.20884115]
79,CRB,12,4000,1000,[0.39280829],[0.03261706],[6.18387692]
80,DAI,27,1000,300,[0.63016473],[0.12278684],[5.7906811]
81,DAI,27,1000,500,[0.65451722],[0.10868888],[5.59678581]
82,DAI,27,1000,750,[0.66183673],[0.11352363],[5.53718077]
83,DAI,27,1000,1000,[0.67852044],[0.11965439],[5.39886131]
84,DAI,13,2000,300,[0.55125861],[0.08548913],[6.3785733]
85,DAI,13,2000,500,[0.59664612],[0.07590745],[6.04739878]
86,DAI,13,2000,750,[0.62204272],[0.07566185],[5.85392079]
87,DAI,13,2000,1000,[0.64011331],[0.078425],[5.71226544]
88,DAI,9,3000,300,[0.63057462],[0.11669621],[5.78747133]
89,DAI,9,3000,500,[0.64350941],[0.114332],[5.68524942]
90,DAI,9,3000,750,[0.64750889],[0.12013514],[5.65326793]
91,DAI,9,3000,1000,[0.65439426],[0.12473598],[5.59778176]
92,DAI,6,4000,300,[-3.88397419e+12],[555.96246903],[18765651.80940909]
93,DAI,6,4000,500,[-3.83921956e+12],[8434.88049328],[18657221.21272723]
94,DAI,6,4000,750,[-3.80699969e+12],[12148.58463281],[18578767.80460884]
95,DAI,6,4000,1000,[-3.78770195e+12],[9949.82698752],[18531619.93863807]
96,DFF,68,1000,300,[0.74080763],[0.00954287],[4.83785369]
97,DFF,68,1000,500,[0.78324306],[0.03430976],[4.42413261]
98,DFF,68,1000,750,[0.79206694],[0.04794557],[4.33314673]
99,DFF,68,1000,1000,[0.79591898],[0.05742544],[4.29282249]
100,DFF,34,2000,300,[0.74457973],[-0.00327001],[4.80252136]
101,DFF,34,2000,500,[0.7736727],[0.02073244],[4.52074593]
102,DFF,34,2000,750,[0.77748189],[0.03609511],[4.48254139]
103,DFF,34,2000,1000,[0.77943981],[0.047492],[4.46277704]
104,DFF,22,3000,300,[0.66376601],[-0.04700809],[5.51013749]
105,DFF,22,3000,500,[0.68891535],[-0.01201994],[5.30006158]
106,DFF,22,3000,750,[0.69809081],[0.00915575],[5.22131379]
107,DFF,22,3000,1000,[0.70510864],[0.02300436],[5.16027269]
108,DFF,17,4000,300,[0.74154481],[-0.01761029],[4.83096907]
109,DFF,17,4000,500,[0.76125824],[0.00801691],[4.64307638]
110,DFF,17,4000,750,[0.76313525],[0.02190657],[4.62478813]
111,DFF,17,4000,1000,[0.76548177],[0.03222461],[4.60182324]
112,DFL,24,1000,300,[-3159054.70602127],[149.08367848],[10590.07098977]
113,DFL,24,1000,500,[-2758603.01766599],[164.86061499],[9896.11905596]
114,DFL,24,1000,750,[-2549445.62300312],[173.72579472],[9513.56283892]
115,DFL,24,1000,1000,[-2374399.04685984],[172.15113507],[9181.15195505]
116,DFM,44,1000,300,[0.54283953],[-0.0203592],[4.0621101]
117,DFM,44,1000,500,[0.58042404],[-0.02886848],[3.89155036]
118,DFM,44,1000,750,[0.58784296],[-0.03316172],[3.85699182]
119,DFM,44,1000,1000,[0.54232519],[-0.03253858],[4.06439453]
120,DFM,22,2000,300,[0.54570165],[-0.01604941],[4.04937441]
121,DFM,22,2000,500,[0.57934873],[-0.0191589],[3.89653389]
122,DFM,22,2000,750,[0.58592087],[-0.02146961],[3.86597485]
123,DFM,22,2000,1000,[0.54939995],[-0.02110483],[4.03285837]
124,DFM,14,3000,300,[-1.01808776e+12],[42027.74969486],[6061916.67528606]
125,DFM,14,3000,500,[-8.3720162e+11],[46883.79830579],[5497084.13671391]
126,DFM,14,3000,750,[-7.32342831e+11],[47747.48404574],[5141319.23956581]
127,DFM,14,3000,1000,[-6.77227922e+11],[45679.322125],[4944071.94487469]
128,DFM,11,4000,300,[0.54308129],[-0.01069458],[4.06103585]
129,DFM,11,4000,500,[0.56633827],[-0.01279622],[3.95633358]
130,DFM,11,4000,750,[0.57357568],[-0.01410204],[3.92318092]
131,DFM,11,4000,1000,[0.55081025],[-0.01357165],[4.02654237]
132,DFU,28,1000,300,[0.82064762],[-0.12063113],[3.72066801]
133,DFU,28,1000,500,[0.82608144],[-0.09902838],[3.66387213]
134,DFU,28,1000,750,[0.82374232],[-0.08143371],[3.68842857]
135,DFU,28,1000,1000,[0.81740343],[-0.06789067],[3.75416756]
136,HCL,64,1000,300,[0.78035242],[0.01491918],[5.58124757]
137,HCL,64,1000,500,[0.80336467],[-0.00171711],[5.28078944]
138,HCL,64,1000,750,[0.83290932],[-0.02756088],[4.86792848]
139,HCL,64,1000,1000,[0.84436039],[-0.04667117],[4.6981637]
140,HCL,32,2000,300,[0.77691588],[0.01281135],[5.6247394]
141,HCL,32,2000,500,[0.8014208],[-0.00386635],[5.30682732]
142,HCL,32,2000,750,[0.82963094],[-0.02773426],[4.91545174]
143,HCL,32,2000,1000,[0.84073806],[-0.04406875],[4.75252131]
144,HCL,21,3000,300,[0.73289852],[0.02713144],[6.15469057]
145,HCL,21,3000,500,[0.77045639],[0.01054034],[5.70559158]
146,HCL,21,3000,750,[0.80406132],[-0.01362422],[5.27142662]
147,HCL,21,3000,1000,[0.82093223],[-0.03046337],[5.03937625]
148,HCL,16,4000,300,[0.77795326],[0.01779845],[5.61164611]
149,HCL,16,4000,500,[0.80084487],[0.00284031],[5.31451735]
150,HCL,16,4000,750,[0.82610962],[-0.01750533],[4.96599017]
151,HCL,16,4000,1000,[0.83535256],[-0.03085576],[4.83220744]
152,HCN,70,1000,300,[0.33573862],[-0.00832731],[3.46601807]
153,HCN,70,1000,500,[0.30100995],[-0.00453161],[3.55546836]
154,HCN,70,1000,750,[0.26944719],[-0.00133401],[3.6348553]
155,HCN,70,1000,1000,[0.26363654],[-0.00300417],[3.64928208]
156,HCN,35,2000,300,[0.34686298],[-0.00247193],[3.4368729]
157,HCN,35,2000,500,[0.31014544],[-0.00098078],[3.53215774]
158,HCN,35,2000,750,[0.28424219],[-0.0001799],[3.59786089]
159,HCN,35,2000,1000,[0.28190268],[-0.00238309],[3.60373604]
160,HCN,23,3000,300,[0.30600053],[-0.00119143],[3.54275313]
161,HCN,23,3000,500,[0.28322294],[0.00270758],[3.6004217]
162,HCN,23,3000,750,[0.27502187],[0.00287726],[3.62096039]
163,HCN,23,3000,1000,[0.27866438],[0.00075814],[3.61185254]
164,HCN,17,4000,300,[0.31640588],[0.00551157],[3.51609402]
165,HCN,17,4000,500,[0.29198732],[0.00635168],[3.57834195]
166,HCN,17,4000,750,[0.27511479],[0.00621972],[3.62072832]
167,HCN,17,4000,1000,[0.27587316],[0.00403889],[3.61883385]
168,HCS,69,1000,300,[0.60068284],[0.03310757],[3.76764501]
169,HCS,69,1000,500,[0.61126736],[0.01915803],[3.71737605]
