,site,sample_down_to,matrix_size,mv_avg_width,nse,pbias,rmse,pbias_abs
3,BEN,42,1000,1000,0.6660659514522633,0.07477233315283234,3.526754525385405,0.07477233315283234
17,BLI,29,1000,500,0.6057258732033268,-0.02196401900241883,3.36658238525709,0.02196401900241883
37,BSL,39,2000,500,0.8757773927113287,-0.10241288487471638,5.667080112047718,0.10241288487471638
53,CLE,32,2000,500,0.7929523696710721,-0.0662071150786913,4.1461291269213705,0.0662071150786913
71,CRB,24,2000,1000,0.40772528726391943,0.02348587080388395,6.1074442998049046,0.02348587080388395
83,DAI,27,1000,1000,0.6785204372178707,0.11965438599073679,5.398861305665661,0.11965438599073679
99,DFF,68,1000,1000,0.7959189847999264,0.05742544300274311,4.292822492168254,0.05742544300274311
115,DFL,24,1000,1000,-2374399.046859839,172.1511350737755,9181.151955053494,172.1511350737755
118,DFM,44,1000,750,0.587842955821555,-0.03316171588973164,3.856991816917429,0.03316171588973164
133,DFU,28,1000,500,0.8260814428206918,-0.09902837951824867,3.6638721349713244,0.09902837951824867
139,HCL,64,1000,1000,0.8443603892200431,-0.046671171274595004,4.698163697952873,0.046671171274595004
156,HCN,35,2000,300,0.34686297669691535,-0.0024719310916435826,3.436872902829445,0.0024719310916435826
177,HCS,23,3000,500,0.6303958827285083,0.023948203343356348,3.6247611265726776,0.023948203343356348
183,IND,54,1000,1000,0.8622121369168391,0.03517111229539966,4.561857695997954,0.03517111229539966
206,LAK,14,3000,750,0.6420307884555223,0.04781627842221014,3.1489360964841357,0.04781627842221014
212,LDF,42,1000,300,0.4879236587290662,0.04595359971394882,3.4766500395361812,0.04595359971394882
238,MIT,18,3000,750,0.7856985468356423,-0.03480980567186252,4.957985746609014,0.03480980567186252
254,NEB,25,3000,750,0.7960452631474162,-0.019444832820542723,4.403142746187958,0.019444832820542723
266,PBC,29,2000,750,0.6862006528775687,0.014207520660002122,3.5798965379006984,0.014207520660002122
279,SBL,44,1000,1000,0.8680636326522895,0.04059075544635497,4.529383795636815,0.04059075544635497
293,SFL,50,1000,500,0.474722001977806,-0.01265565459953073,10.3216696753564,0.01265565459953073
313,SHE,14,2000,500,0.7003606375047651,-0.05087127884348988,4.08592804851004,0.05087127884348988
327,SHE_,22,1000,1000,-1.652086509920892,0.3903221688778726,12.365538762757021,0.3903221688778726
343,SOL,56,1000,1000,-1356.1371978831078,-2.594617815514233,498.6918787021868,2.594617815514233
353,SOL_,22,2000,500,0.5698194659516833,0.06129849842605502,3.0595485577196038,0.06129849842605502
367,STR,34,1000,1000,0.9055567830577242,0.06605441714650714,4.538268535775517,0.06605441714650714
392,TCU,15,4000,300,0.7640909556695932,0.016380711540380788,3.3737484237867563,0.016380711540380788
400,TIE,32,2000,300,0.4415107797675677,0.03818602575585437,3.6158753056256767,0.03818602575585437
421,WAN,21,3000,500,0.55314189709241,0.041447340198403064,3.617607564474902,0.041447340198403064
